time_truth_sec,pos_east_truth_m,pos_north_truth_m,pos_up_truth_m,vel_east_truth_mps,vel_north_truth_mps,vel_up_truth_mps,yaw_truth_rad,pitch_truth_rad,roll_truth_rad
0.67,8.41999999999762,6.37248015563938e-06,0,-7.12618394527325e-12,9.37129434652668e-06,0,1.57079710725229,-3.377066546109e-19,-3.4815137183232e-14
0.68,8.41999999999755,6.46619309910465e-06,0,-7.24253767791019e-12,9.37129434652659e-06,0,1.57079711805046,-3.50032963091857e-19,-3.60858956021224e-14
0.69,8.41999999999747,6.55990604256991e-06,0,-7.35815044232615e-12,9.3712943465265e-06,0,1.57079712875732,-3.61228694240405e-19,-3.72400998338911e-14
0.7,8.4199999999974,6.65361898603518e-06,0,-7.47302223852115e-12,9.37129434652641e-06,0,1.57079713937874,-3.71192926790203e-19,-3.82673455727852e-14
0.71,8.41999999999732,6.74733192950044e-06,0,-7.58715306649517e-12,9.37129434652632e-06,0,1.57079714992058,-3.79824739512693e-19,-3.91572285130441e-14
0.72,8.41999999999725,6.84104487296571e-06,0,-7.70054292624822e-12,9.37129434652623e-06,0,1.5707971603887,-3.87023211217003e-19,-3.98993443488989e-14
0.73,8.41999999999717,6.93475781643097e-06,0,-7.81319181569945e-12,9.37129434652614e-06,0,1.57079717078894,-3.92687420749994e-19,-4.04832887745728e-14
0.74,8.41999999999709,7.02847075989623e-06,0,-7.92509973692972e-12,9.37129434652604e-06,0,1.57079718112718,-3.9671644699643e-19,-4.08986574842809e-14
0.75,8.41999999999701,7.12218370336149e-06,0,-8.03626668993901e-12,9.37129434652595e-06,0,1.57079719140928,-3.99009368879273e-19,-4.11350461722304e-14
0.76,8.41999999999693,7.21589664682675e-06,0,-8.14669267264648e-12,9.37129434652585e-06,0,1.57079720164108,-3.99465265360124e-19,-4.11820505326201e-14
0.77,8.41999999999685,7.30960959029201e-06,0,-8.25637768921383e-12,9.37129434652576e-06,0,1.57079721182845,-3.97983215439774e-19,-4.10292662596406e-14
0.78,8.41999999999677,7.40332253375726e-06,0,-8.36532173547936e-12,9.37129434652566e-06,0,1.57079722197726,-3.94462298158911e-19,-4.0666289047474e-14
0.79,8.41999999999668,7.49703547722252e-06,0,-8.47352481144308e-12,9.37129434652557e-06,0,1.57079723209334,-3.88801592598919e-19,-4.00827145902937e-14
0.8,8.4199999999966,7.59074842068777e-06,0,-8.58098692126667e-12,9.37129434652547e-06,0,1.57079724218258,-3.8090017788286e-19,-3.92681385822644e-14
0.81,8.41999999999651,7.68446136415303e-06,0,-8.68770806078844e-12,9.37129434652537e-06,0,1.57079725225082,-3.70657133176534e-19,-3.82121567175416e-14
0.820000000000001,8.41999999999642,7.77817430761828e-06,0,-8.79368823417008e-12,9.37129434652527e-06,0,1.57079726230392,-3.57971537689706e-19,-3.69043646902717e-14
0.830000000000001,8.41999999999633,7.87188725108353e-06,0,-8.89892743724991e-12,9.37129434652517e-06,0,1.57079727234774,-3.42742470677441e-19,-3.53343581945912e-14
0.840000000000001,8.41999999999624,7.96560019454879e-06,0,-9.00342567002793e-12,9.37129434652507e-06,0,1.57079728238815,-3.24869011441587e-19,-3.34917329246269e-14
0.850000000000001,8.41999999999615,8.05931313801404e-06,0,-9.10718293666582e-12,9.37129434652497e-06,0,1.570797292431,-3.04250239332376e-19,-3.13660845744952e-14
0.860000000000001,8.41999999999606,8.15302608147928e-06,0,-9.21019923300189e-12,9.37129434652487e-06,0,1.57079730248214,-2.80785233750157e-19,-2.8947008838302e-14
0.870000000000001,8.41999999999597,8.24673902494453e-06,0,-9.31247456111699e-12,9.37129434652477e-06,0,1.57079731254744,-2.54373074147263e-19,-2.62241014101421e-14
0.880000000000001,8.41999999999588,8.34045196840978e-06,0,-9.41400892101111e-12,9.37129434652466e-06,0,1.57079732263276,-2.24912840030011e-19,-2.31869579840989e-14
0.890000000000001,8.41999999999578,8.43416491187503e-06,0,-9.51480231060343e-12,9.37129434652456e-06,0,1.57079733274395,-1.92303610960821e-19,-1.98251742542438e-14
0.900000000000001,8.41999999999569,8.52787785534027e-06,0,-9.61485473405561e-12,9.37129434652446e-06,0,1.57079734288688,-1.56444466560481e-19,-1.61283459146358e-14
0.910000000000001,8.41999999999559,8.62159079880552e-06,0,-9.71416618720598e-12,9.37129434652435e-06,0,1.5707973530674,-1.17234486510524e-19,-1.20860686593214e-14
0.920000000000001,8.41999999999549,8.71530374227076e-06,0,-9.81273667005453e-12,9.37129434652425e-06,0,1.57079736329137,-7.45727505557568e-20,-7.68793818233312e-15
0.930000000000001,8.41999999999539,8.809016685736e-06,0,-9.91056618676296e-12,9.37129434652414e-06,0,1.57079737356466,-2.8358338506899e-20,-2.9235501776899e-15
0.940000000000001,8.41999999999529,8.90272962920124e-06,0,-1.00077378379712e-11,9.37129434652404e-06,0,1.57079738379484,2.15038844480792e-20,2.21689034258749e-15
0.950000000000001,8.41999999999519,8.99644257266648e-06,0,-1.01049451090901e-11,9.37129434652393e-06,0,1.57079739418085,7.4906799490993e-20,7.72233406666642e-15
0.960000000000001,8.41999999999509,9.09015551613172e-06,0,-1.02023435682799e-11,9.37129434652383e-06,0,1.57079740462318,1.31495330044932e-19,1.35561923731345e-14
0.970000000000001,8.41999999999499,9.18386845959696e-06,0,-1.02999332134597e-11,9.37129434652372e-06,0,1.57079741512026,1.90899427738077e-19,1.96803161416889e-14
0.980000000000001,8.41999999999489,9.2775814030622e-06,0,-1.03977140467103e-11,9.37129434652361e-06,0,1.57079742567052,2.52749044363264e-19,2.60565562519917e-14
0.990000000000001,8.41999999999478,9.37129434652743e-06,0,-1.049568606387e-11,9.3712943465235e-06,0,1.57079743627239,3.16674131880642e-19,3.26467635836696e-14
1,8.41999999999467,9.46500728999267e-06,0,-1.05938492691006e-11,9.37129434652339e-06,0,1.5707974469243,3.8230464242021e-19,3.94127890163132e-14
1.01,8.41999999999457,9.5587202334579e-06,0,-1.06922036582403e-11,9.37129434652327e-06,0,1.57079745762467,4.49270528284203e-19,4.63164834294767e-14
1.02,8.41999999999446,9.65243317692313e-06,0,-1.07907492354508e-11,9.37129434652316e-06,0,1.57079746837194,5.1720174194938e-19,5.33196977026772e-14
1.03,8.41999999999435,9.74614612038836e-06,0,-1.08894859986513e-11,9.37129434652305e-06,0,1.57079747916454,5.85728236069153e-19,6.03842827153944e-14
1.04,8.41999999999424,9.8398590638536e-06,0,-1.09884139499227e-11,9.37129434652293e-06,0,1.5707974900009,6.54479963475623e-19,6.747208934707e-14
1.05,8.41999999999413,9.93357200731882e-06,0,-1.10875330851032e-11,9.37129434652281e-06,0,1.57079750087944,7.23086877181444e-19,7.45449684771075e-14
1.06,8.41999999999402,1.00272849507841e-05,0,-1.11868434083545e-11,9.37129434652269e-06,0,1.5707975117986,7.911789303816e-19,8.15647709848718e-14
1.07,8.41999999999391,1.01209978942493e-05,0,-1.12863449175958e-11,9.37129434652257e-06,0,1.5707975227568,8.58386076455045e-19,8.84933477496886e-14
1.08,8.4199999999938,1.02147108377145e-05,0,-1.13860376128271e-11,9.37129434652245e-06,0,1.57079753375248,9.24338268966175e-19,9.52925496508446e-14
1.09,8.41999999999368,1.03084237811797e-05,0,-1.14859214940484e-11,9.37129434652233e-06,0,1.57079754478405,9.88665461666228e-19,1.01924227567586e-13
1.1,8.41999999999357,1.0402136724645e-05,0,-1.15859965612597e-11,9.37129434652221e-06,0,1.57079755584997,1.05099760849454e-18,1.08350232379121e-13
1.11,8.41999999999345,1.04958496681102e-05,0,-1.16862628165418e-11,9.37129434652208e-06,0,1.57079756694864,1.11096466357963e-18,1.14532414964616e-13
1.12,8.41999999999333,1.05895626115754e-05,0,-1.1786720255733e-11,9.37129434652196e-06,0,1.57079757807851,1.16819658124023e-18,1.20432626203197e-13
1.13,8.41999999999321,1.06832755550406e-05,0,-1.18873688829951e-11,9.37129434652183e-06,0,1.570797589238,1.22232331598612e-18,1.2601271697395e-13
1.14,8.4199999999931,1.07769884985058e-05,0,-1.19882086962472e-11,9.3712943465217e-06,0,1.57079760042554,1.27297482251887e-18,1.31234538155921e-13
1.15,8.41999999999297,1.0870701441971e-05,0,-1.20892396954892e-11,9.37129434652157e-06,0,1.57079761163956,1.31978105573246e-18,1.36059940628114e-13
1.16,8.41999999999285,1.09644143854363e-05,0,-1.21904618828021e-11,9.37129434652144e-06,0,1.57079762287849,1.36237197071375e-18,1.40450775269493e-13
1.17,8.41999999999273,1.10581273289015e-05,0,-1.22918752540241e-11,9.37129434652131e-06,0,1.57079763414076,1.40037752274281e-18,1.44368892958981e-13
1.18,8.41999999999261,1.11518402723667e-05,0,-1.23934798133169e-11,9.37129434652118e-06,0,1.5707976454248,1.43342766729317e-18,1.47776144575459e-13
1.19,8.41999999999248,1.12455532158319e-05,0,-1.24952755585998e-11,9.37129434652104e-06,0,1.57079765672904,1.46115236003192e-18,1.50634380997768e-13
1.2,8.41999999999236,1.13392661592971e-05,0,-1.25972624898726e-11,9.37129434652091e-06,0,1.57079766805191,1.48318155681964e-18,1.52905453104707e-13
1.21,8.41999999999223,1.14329791027623e-05,0,-1.26994406071354e-11,9.37129434652077e-06,0,1.57079767939183,1.49914521371026e-18,1.54551211775036e-13
1.22,8.4199999999921,1.15266920462275e-05,0,-1.2801809912469e-11,9.37129434652064e-06,0,1.57079769074724,1.5086732869508e-18,1.55533507887471e-13
1.23,8.41999999999197,1.16204049896927e-05,0,-1.29043704017118e-11,9.3712943465205e-06,0,1.57079770211657,1.51139573298087e-18,1.5581419232069e-13
1.24,8.41999999999184,1.17141179331579e-05,0,-1.30071220790254e-11,9.37129434652036e-06,0,1.57079771349824,1.50694250843221e-18,1.55355115953328e-13
1.25,8.41999999999172,1.18078308766231e-05,0,-1.3110064942329e-11,9.37129434652021e-06,0,1.57079772489069,1.49494357012797e-18,1.54118129663981e-13
1.26,8.41999999999158,1.19015438200883e-05,0,-1.32131989916226e-11,9.37129434652007e-06,0,1.57079773629235,1.47502887508192e-18,1.52065084331205e-13
1.27,8.41999999999145,1.19952567635535e-05,0,-1.33165242269062e-11,9.37129434651993e-06,0,1.57079774770163,1.44682838049751e-18,1.49157830833513e-13
1.28,8.41999999999132,1.20889697070187e-05,0,-1.34200406502606e-11,9.37129434651978e-06,0,1.57079775911699,1.40997204376681e-18,1.45358220049381e-13
1.29,8.41999999999118,1.21826826504839e-05,0,-1.35237482575241e-11,9.37129434651964e-06,0,1.57079777053683,1.36408982246934e-18,1.40628102857244e-13
1.3,8.41999999999105,1.22763955939491e-05,0,-1.36276470528585e-11,9.37129434651949e-06,0,1.5707977819596,1.30881167437073e-18,1.34929330135498e-13
1.31,8.41999999999091,1.23701085374143e-05,0,-1.37317370341828e-11,9.37129434651934e-06,0,1.57079779338372,1.24376755742133e-18,1.28223752762498e-13
1.32,8.41999999999077,1.24638214808795e-05,0,-1.38360182014971e-11,9.37129434651919e-06,0,1.57079780480762,1.16858742975452e-18,1.20473221616563e-13
1.33,8.41999999999063,1.25575344243447e-05,0,-1.39404905568823e-11,9.37129434651903e-06,0,1.57079781622974,1.08290124968519e-18,1.11639587575972e-13
1.34,8.41999999999049,1.26512473678099e-05,0,-1.40451540961766e-11,9.37129434651888e-06,0,1.57079782764849,9.86338975707719e-19,1.01684701518966e-13
1.35,8.41999999999035,1.27449603112751e-05,0,-1.41500088235418e-11,9.37129434651873e-06,0,1.57079783906232,8.78530566494161e-19,9.05704143237481e-14
1.36,8.41999999999021,1.28386732547403e-05,0,-1.42550547368969e-11,9.37129434651857e-06,0,1.57079785046964,7.59105980892097e-19,7.82585768684847e-14
1.37,8.41999999999007,1.29323861982055e-05,0,-1.4360291836242e-11,9.37129434651841e-06,0,1.5707978618689,6.27695177922439e-19,6.47110400313052e-14
1.38,8.41999999998992,1.30260991416706e-05,0,-1.44657201215771e-11,9.37129434651825e-06,0,1.57079787325851,4.83928116777075e-19,4.98896546903028e-14
1.39,8.41999999998978,1.31198120851358e-05,0,-1.45713395929022e-11,9.37129434651809e-06,0,1.57079788463691,3.27434756816432e-19,3.3756271723535e-14
1.4,8.41999999998963,1.3213525028601e-05,0,-1.46771502522981e-11,9.37129434651793e-06,0,1.57079789600253,1.5784505756684e-19,1.62727420090242e-14
1.41,8.41999999998948,1.33072379720662e-05,0,-1.47831500064344e-11,9.37129434651776e-06,0,1.57079790725562,-2.52104755007879e-20,-2.59901219437507e-15
1.42,8.41999999998933,1.34009509155313e-05,0,-1.48891941137893e-11,9.37129434651759e-06,0,1.57079791859144,-2.21680322195887e-19,-2.28535924589613e-14
1.43,8.41999999998919,1.34946638589965e-05,0,-1.49951942840947e-11,9.37129434651741e-06,0,1.57079792991204,-4.30374041855296e-19,-4.43683683337788e-14
1.44,8.41999999998904,1.35883768024617e-05,0,-1.5101150523593e-11,9.37129434651724e-06,0,1.57079794121782,-6.49912363278267e-19,-6.70011476431524e-14
1.45,8.41999999998888,1.36820897459269e-05,0,-1.52070628260418e-11,9.37129434651706e-06,0,1.57079795250921,-8.78916015958799e-19,-9.06097382112593e-14
1.46,8.41999999998873,1.3775802689392e-05,0,-1.53129311976835e-11,9.37129434651688e-06,0,1.57079796378664,-1.11600573008296e-18,-1.1505194786213e-13
1.47,8.41999999998858,1.38695156328572e-05,0,-1.54187556322756e-11,9.3712943465167e-06,0,1.57079797505053,-1.35980223652629e-18,-1.4018558441965e-13
1.48,8.41999999998842,1.39632285763224e-05,0,-1.55245361339798e-11,9.37129434651652e-06,0,1.5707979863013,-1.60892626685141e-18,-1.65868455707557e-13
1.49,8.41999999998827,1.40569415197875e-05,0,-1.56302727027961e-11,9.37129434651634e-06,0,1.57079799753937,-1.86199855330566e-18,-1.91958369549445e-13
1.5,8.41999999998811,1.41506544632527e-05,0,-1.57359653345628e-11,9.37129434651616e-06,0,1.57079800876518,-2.11763982881898e-18,-2.18313133768762e-13
1.51,8.41999999998795,1.42443674067179e-05,0,-1.58416140355225e-11,9.37129434651598e-06,0,1.57079801997913,-2.37447082700181e-18,-2.44790556188814e-13
1.52,8.41999999998779,1.4338080350183e-05,0,-1.59472187994326e-11,9.3712943465158e-06,0,1.57079803118166,-2.63111228214319e-18,-2.7124844463276e-13
1.53,8.41999999998763,1.44317932936482e-05,0,-1.60527796325357e-11,9.37129434651562e-06,0,1.57079804237319,-2.88618492920898e-18,-2.97544606923618e-13
1.54,8.41999999998747,1.45255062371133e-05,0,-1.61582965285892e-11,9.37129434651544e-06,0,1.57079805355414,-3.13830950384012e-18,-3.23536850884262e-13
1.55,8.41999999998731,1.46192191805785e-05,0,-1.62637694917548e-11,9.37129434651526e-06,0,1.57079806472494,-3.38610674235127e-18,-3.49082984337423e-13
1.56,8.41999999998715,1.47129321240436e-05,0,-1.63691985199516e-11,9.37129434651507e-06,0,1.570798075886,-3.62819738172918e-18,-3.7404081510569e-13
1.57,8.41999999998698,1.48066450675088e-05,0,-1.64745836152606e-11,9.37129434651489e-06,0,1.57079808703776,-3.86320215963156e-18,-3.98268151011508e-13
1.58,8.41999999998682,1.49003580109739e-05,0,-1.65799247756008e-11,9.37129434651471e-06,0,1.57079809818063,-4.08974181438592e-18,-4.21622799877183e-13
1.59,8.41999999998665,1.49940709544391e-05,0,-1.66852220030531e-11,9.37129434651452e-06,0,1.57079810931504,-4.30643708498846e-18,-4.43962569524876e-13
1.6,8.41999999998648,1.50877838979042e-05,0,-1.67904752955367e-11,9.37129434651434e-06,0,1.57079812044141,-4.5119087111033e-18,-4.65145267776608e-13
1.61,8.41999999998631,1.51814968413694e-05,0,-1.68956846551324e-11,9.37129434651415e-06,0,1.57079813156016,-4.70477743306164e-18,-4.85028702454259e-13
1.62,8.41999999998615,1.52752097848345e-05,0,-1.70008500797593e-11,9.37129434651397e-06,0,1.57079814267172,-4.88366399186107e-18,-5.03470681379567e-13
1.63,8.41999999998598,1.53689227282996e-05,0,-1.71059715694176e-11,9.37129434651378e-06,0,1.57079815377651,-5.0471891291653e-18,-5.20329012374129e-13
1.64,8.4199999999858,1.54626356717648e-05,0,-1.72110491261879e-11,9.3712943465136e-06,0,1.57079816487496,-5.19397358730341e-18,-5.354615032594e-13
1.65,8.41999999998563,1.55563486152299e-05,0,-1.73160827479895e-11,9.37129434651341e-06,0,1.57079817596748,-5.32263810926998e-18,-5.48725961856695e-13
1.66,8.41999999998546,1.5650061558695e-05,0,-1.74210724348223e-11,9.37129434651322e-06,0,1.57079818705451,-5.43180343872477e-18,-5.59980195987187e-13
1.67,8.41999999998528,1.57437745021602e-05,0,-1.75260181887673e-11,9.37129434651304e-06,0,1.57079819813645,-5.52009031999267e-18,-5.69082013471911e-13
