time_gps_sec,pos_east_m,pos_north_m,pos_up_m,vel_east_mps,vel_north_mps,vel_up_mps
43.7899999999999,3.13100043242361,-7.9655963704991,0.433482359904048,2.67344994330325,1.16733867886344,-0.0104810695800763
43.8899999999998,3.59086087196752,-7.57959238939151,0.612441884163019,2.67446319120315,1.27454174282728,-0.131132527937717
43.9899999999998,3.15461921819688,-7.66263090925348,0.2138170141682,2.52763852580829,1.3110068954504,-0.12770897425277
44.0899999999998,3.42634764580477,-7.48297754798284,-0.052443283800784,2.65185771303562,1.49181427092877,0.0447362195237791
44.1899999999998,4.69778976124527,-7.6062237587753,-0.600129312095049,2.44348232464763,1.48198184951724,0.0501604009530544
44.2899999999998,4.15659367330424,-7.8375679627436,-0.192971411351863,2.38445759860381,1.55407619729675,0.083352300915536
44.3899999999997,4.90480584985716,-6.96847227980792,0.0778435056984392,2.41960454278679,1.69443406263126,0.0311036935739054
44.4899999999997,4.85052792469025,-6.65815911946654,0.368030589814481,2.33395526757787,1.75606567503735,-0.125492418412087
44.5899999999997,5.20910252144052,-6.42411087339166,-0.100220120702687,2.28738239745177,1.84116739277507,-0.0446268096077582
44.6899999999997,5.49664328557265,-6.58256285704108,0.510956450174746,2.27535252328676,1.96190077269562,-0.144104760903764
44.7899999999997,5.24574796879095,-6.79536771622772,-0.379026559372249,2.13552976457573,1.96694451669073,0.237172277476203
44.8899999999996,6.05974947617201,-5.87010278221012,-0.45659803990722,2.06072972235345,2.02701967794376,0.00681023054505112
44.9899999999996,5.55170339072282,-5.49556047625743,0.526913268300888,1.97504735515747,2.07779649174497,-0.140203453209179
45.0899999999996,6.48007270020912,-5.41966726657746,0.134853552836177,1.93255600132505,2.17124575057689,-0.11443519083447
45.1899999999996,6.34948818693324,-4.97889662030994,-0.112437345278266,1.88038252512093,2.25868445056428,0.103985084464665
45.2899999999996,6.61292737326327,-5.08993053528624,-0.115470845443014,1.84001262667554,2.36382392712852,0.0592466627430921
45.3899999999995,6.82728319993347,-4.69897088686691,0.130336940097806,1.72358949576992,2.38584897547099,-0.125767892325779
45.4899999999995,6.83850504501448,-4.72086915218244,0.127859566169974,1.6146327384334,2.39015475730127,-0.0684812112685312
45.5899999999995,7.02216097049024,-4.68088890292477,0.153355047847327,1.58650784486205,2.52356145100583,-0.0694670604288234
45.6899999999995,6.66546875663171,-4.41477907471012,0.247739974218604,1.42949173000542,2.45343990161099,0.0504528813700071
45.7899999999995,7.28909101502389,-4.37838327922327,-0.0456081593453916,1.36617015777892,2.53340783274701,0.0279176878550563
45.8899999999994,7.40667368717214,-3.19761020658604,0.650575775462386,1.2728669028216,2.55897660328745,-0.211611228202952
45.9899999999994,8.2885385303485,-3.33084819596775,0.462816550205645,1.25145347808471,2.73819866053424,-0.117712932598493
46.0899999999994,7.61373885053067,-3.24805805927114,0.518090479816493,1.13146423845727,2.7170774340714,-0.0841006858963083
46.1899999999994,7.12089731297259,-2.40960651548259,-0.5961563626349,1.07132327973521,2.82442300635911,0.00759190408570871
46.2899999999994,7.90467501113186,-2.30865244891219,-0.052592320558432,0.935463024138826,2.73949029926317,0.140049019616145
46.3899999999993,8.1998517739587,-3.17240432672246,-0.606208665487173,0.83122118511104,2.72647857230815,-0.0374846747722033
46.4899999999993,8.21058755200092,-2.33191616063013,-0.0208456182897123,0.770593484139695,2.87530023814058,0.102138008489626
46.5899999999993,8.82573754599226,-2.35640674957391,-0.405632919822636,0.647992024917662,2.78325283863903,0.0140388234675172
46.6899999999993,7.72151064308382,-1.97303768068,-0.241406467933956,0.565895562530439,2.85653370022534,0.163852654542189
46.7899999999993,8.57238846374669,-0.840292810293565,0.331793526928124,0.490857580745114,3.00031332565927,0.0608835975564267
