time_imu_sec,ax_mpsps,ay_mpsps,az_mpsps,gx_radps,gy_radps,gz_radps
1.08,-0.1220328,0.0095712,9.798516,0.0130899693899575,0.0152716309549504,0.0141808001724539
1.09,-0.0861408,-0.071784,9.786552,0.0174532925199433,0.0141808001724539,0.0163624617374468
1.1,-0.0861408,-0.0622128,9.7889448,0.0152716309549504,0.0130899693899575,0.0163624617374468
1.11,0.0646056,0.0095712,9.8750856,0.0185441233024398,0.0196349540849362,0.00872664625997165
1.12,-0.0095712,0.0047856,9.8655144,0.0185441233024398,0.0163624617374468,0.0185441233024398
1.13,0.0263208,0.0669984,9.7817664,0.0196349540849362,0.0109083078249646,0.0174532925199433
1.14,0.0526416,0.047856,9.8391936,0.0109083078249646,0.0185441233024398,0.0152716309549504
1.15,0.0813552,0.047856,9.8009088,0.0141808001724539,0.011999138607461,0.0174532925199433
1.16,0.0502488,0.023928,9.846372,0.0163624617374468,0.0141808001724539,0.0141808001724539
1.17,0.035892,-0.0095712,9.8535504,0.0174532925199433,0.0185441233024398,0.0152716309549504
1.18,0.0191424,-0.1052832,9.8296224,0.0152716309549504,0.0174532925199433,0.0152716309549504
1.19,-0.0287136,0.023928,9.7961232,0.0130899693899575,0.0196349540849362,0.0152716309549504
1.2,0.0406776,-0.023928,9.846372,0.0152716309549504,0.0130899693899575,0.0174532925199433
1.21,0.0095712,-0.0406776,9.8487648,0.0163624617374468,0.011999138607461,0.0163624617374468
1.22,0.0861408,-0.0023928,9.726732,0.0196349540849362,0.011999138607461,0.00872664625997165
1.23,0.0215352,0.0430704,9.8296224,0.0098174770424681,0.0207257848674327,0.011999138607461
1.24,0.0263208,-0.011964,9.7937304,0.0130899693899575,0.0141808001724539,0.0163624617374468
1.25,-0.0311064,-0.0382848,9.8679072,0.0152716309549504,0.0163624617374468,0.0174532925199433
1.26,0.0263208,-0.0646056,9.846372,0.0141808001724539,0.0218166156499291,0.0141808001724539
1.27,0.0311064,0.0191424,9.7793736,0.0174532925199433,0.0130899693899575,0.0163624617374468
1.28,0.0023928,0.0095712,9.7721952,0.0185441233024398,0.0152716309549504,0.0141808001724539
1.29,-0.0574272,-0.0215352,9.8774784,0.0163624617374468,0.0141808001724539,0.0130899693899575
1.3,-0,0.0095712,9.7817664,0.0152716309549504,0.0174532925199433,0.0174532925199433
1.31,0.0861408,0.0167496,9.8248368,0.0109083078249646,0.0152716309549504,0.0152716309549504
1.32,0.0191424,0.0454632,9.8176584,0.0174532925199433,0.0141808001724539,0.0152716309549504
1.33,-0.0406776,-0.0143568,9.7291248,0.0152716309549504,0.0098174770424681,0.0163624617374468
1.34,0.0071784,0.0047856,9.9325128,0.0098174770424681,0.0174532925199433,0.0130899693899575
1.35,-0.0071784,0.0095712,9.834408,0.0130899693899575,0.0185441233024398,0.0196349540849362
1.36,-0.0550344,-0.047856,9.8511576,0.011999138607461,0.0109083078249646,0.0174532925199433
1.37,-0.035892,-0.0047856,9.8607288,0.0130899693899575,0.0163624617374468,0.0130899693899575
1.38,0.0646056,0.1268184,9.8128728,0.011999138607461,0.0163624617374468,0.0141808001724539
1.39,-0.0861408,-0.035892,9.7650168,0.0207257848674327,0.0163624617374468,0.0152716309549504
